field,entry
target_country,
category,
customer_problem,
price_band,
demand_source_url,
observation_date,
shop_creator_or_advertiser_concentration,
landed_cost,
fees_and_commission,
estimated_margin,
supplier_and_document_checks,
fulfillment_and_return_risk,
decision_proceed_monitor_reject,
owner,
deadline,
small_test_budget,
success_metric,
stop_condition,
