field,entry
advertiser,
platform,
market,
observation_date,
official_ad_library_url,
landing_page_url,
first_seen,
last_seen,
hook,
customer_problem,
proof,
offer,
call_to_action,
repeated_pattern,
original_test_concept,
test_budget,
success_metric,
stop_condition,
